image_path,cluster_label
AIMS_Water_Monitoring\Clustering_attempt\time_1777435964.400053.jpg,4
AIMS_Water_Monitoring\Clustering_attempt\time_1777435986.100054.jpg,2
AIMS_Water_Monitoring\Clustering_attempt\time_1777435988.050052.jpg,2
AIMS_Water_Monitoring\Clustering_attempt\time_1777435998.950189.jpg,3
AIMS_Water_Monitoring\Clustering_attempt\time_1777436003.100062.jpg,0
AIMS_Water_Monitoring\Clustering_attempt\time_1777436006.300089.jpg,3
AIMS_Water_Monitoring\Clustering_attempt\time_1777436016.300177.jpg,0
AIMS_Water_Monitoring\Clustering_attempt\time_1777436066.000066.jpg,3
AIMS_Water_Monitoring\Clustering_attempt\time_1777436075.600029.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777436137.45005.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777436147.500052.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777436150.950021.jpg,2
AIMS_Water_Monitoring\Clustering_attempt\time_1777436152.000064.jpg,2
AIMS_Water_Monitoring\Clustering_attempt\time_1777436153.300055.jpg,2
AIMS_Water_Monitoring\Clustering_attempt\time_1777436167.800078.jpg,2
AIMS_Water_Monitoring\Clustering_attempt\time_1777436194.150231.jpg,3
AIMS_Water_Monitoring\Clustering_attempt\time_1777436216.950053.jpg,2
AIMS_Water_Monitoring\Clustering_attempt\time_1777436231.650101.jpg,2
AIMS_Water_Monitoring\Clustering_attempt\time_1777436238.100054.jpg,0
AIMS_Water_Monitoring\Clustering_attempt\time_1777436257.500058.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777436268.400052.jpg,2
AIMS_Water_Monitoring\Clustering_attempt\time_1777436276.600049.jpg,2
AIMS_Water_Monitoring\Clustering_attempt\time_1777436280.600207.jpg,2
AIMS_Water_Monitoring\Clustering_attempt\time_1777436281.000178.jpg,2
AIMS_Water_Monitoring\Clustering_attempt\time_1777436286.000062.jpg,3
AIMS_Water_Monitoring\Clustering_attempt\time_1777436341.600054.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777436360.300053.jpg,1
